Saint Peter's,-7.89,40.727648,-74.073173,,,,,,,,,,,,,,,,,,
Sam Houston St.,-2.08,30.71278,-95.54611,,,,,,,,,,,,,,,,,,
Samford,-5.15,33.4638,-86.7973,,,,,,,,,,,,,,,,,,
San Diego,-0.44,32.7745,-117.1837,,,,,,,,,,,,,,,,,,
San Diego St.,14.39,32.77375,-117.074583,,,,,,,,,,,,,,,,,,
San Francisco,4.07,37.77694,-122.44944,,,,,,,,,,,,,,,,,,
San Jose St.,-4.22,37.33536,-121.87985,,,,,,,,,,,,,,,,,,
Santa Clara,1.97,37.3491111,-121.9353028,,,,,,,,,,,,,,,,,,
Seattle,-4.27,47.60722,-122.31333,,,,,,,,,,,,,,,,,,
Seton Hall,12.98,40.73361,-74.17111,,,,,,,,,,,,,,,,,,
Siena,-5.66,42.64861,-73.75472,,,,,,,,,,,,,,,,,,
SIU Edwardsville,-15.08,38.7959889,-89.9998833,,,,,,,,,,,,,,,,,,
SMU,10.12,32.84028,-96.78056,,,,,,,,,,,,,,,,,,
South Alabama,-3.35,30.69229,-88.17975,,,,,,,,,,,,,,,,,,
South Carolina,14.66,33.995,-81.03722,,,,,,,,,,,,,,,,,,
South Carolina St.,-15.64,33.500979,-80.846522,,,,,,,,,,,,,,,,,,
South Dakota,-7.35,42.790111,-96.927806,,,,,,,,,,,,,,,,,,
South Dakota St.,-0.69,44.317984,-96.779058,,,,,,,,,,,,,,,,,,
South Florida,1.07,28.0592361,-82.4064722,,,,,,,,,,,,,,,,,,
Southeast Missouri St.,-11.86,37.32,-89.5271,,,,,,,,,,,,,,,,,,
Southeastern Louisiana,-11.26,30.52,-90.47278,,,,,,,,,,,,,,,,,,
Southern,-14.63,30.52167,-91.18556,,,,,,,,,,,,,,,,,,
Southern Illinois,2.24,37.70833,-89.21861,,,,,,,,,,,,,,,,,,
Southern Indiana,-16.21,37.96194,-87.67472,,,,,,,,,,,,,,,,,,
Southern Miss,-2.67,31.33083,-89.33778,,,,,,,,,,,,,,,,,,
Southern Utah,-6.95,37.67556,-113.07306,,,,,,,,,,,,,,,,,,
St. Bonaventure,3.48,42.079428,-78.484998,,,,,,,,,,,,,,,,,,
St. John's,15.78,40.75056,-73.99361,,,,,,,,,,,,,,,,,,
St. Thomas,-5.79,44.94306,-93.19028,,,,,,,,,,,,,,,,,,
Stanford,16.66,37.4296,-122.1605,,,,,,,,,,,,,,,,,,
Stephen F. Austin,-3.18,31.62222,-94.64083,,,,,,,,,,,,,,,,,,
Stetson,-12.37,29.039584,-81.301819,,,,,,,,,,,,,,,,,,
Stonehill,-19.97,42.0576,-71.0789,,,,,,,,,,,,,,,,,,
Stony Brook,-6.92,40.91741,-73.125955,,,,,,,,,,,,,,,,,,
Syracuse,23.68,43.03611,-76.13639,,,,,,,,,,,,,,,,,,
Tarleton St.,-5.06,32.215438,-98.220617,,,,,,,,,,,,,,,,,,
TCU,12.39,32.708774,-97.36673,,,,,,,,,,,,,,,,,,
Temple,7.16,39.97972,-75.15861,,,,,,,,,,,,,,,,,,
Tennessee,26.52,35.951167,-83.925028,,,,,,,,,,,,,,,,,,
Tennessee Martin,-12.98,36.343604,-88.868134,,,,,,,,,,,,,,,,,,
Tennessee St.,-11.18,36.16889,-86.82944,,,,,,,,,,,,,,,,,,
Tennessee Tech,-10.65,36.178508,-85.51,,,,,,,,,,,,,,,,,,
Texas,29.82,30.280972,-97.730472,,,,,,,,,,,,,,,,,,
Texas A&M,17.92,30.60578,-96.34619,,,,,,,,,,,,,,,,,,
Texas A&M Corpus Chris,-8.32,27.8073389,-97.3935611,,,,,,,,,,,,,,,,,,
Texas Southern,-12.62,29.72278,-95.36528,,,,,,,,,,,,,,,,,,
Texas St.,-5.55,29.88861,-97.93278,,,,,,,,,,,,,,,,,,
Texas Tech,19.05,33.5812611,-101.8866361,,,,,,,,,,,,,,,,,,
The Citadel,-12.14,32.798508,-79.962573,,,,,,,,,,,,,,,,,,
Toledo,-1.06,41.660232,-83.609795,,,,,,,,,,,,,,,,,,
Towson,-6.02,39.387361,-76.617083,,,,,,,,,,,,,,,,,,
Troy,-5.01,31.80222,-85.95472,,,,,,,,,,,,,,,,,,
Tulane,-1.18,29.93861,-90.12056,,,,,,,,,,,,,,,,,,
Tulsa,3.76,36.14861,-95.94194,,,,,,,,,,,,,,,,,,
UAB,5.75,33.5021639,-86.8092444,,,,,,,,,,,,,,,,,,
UC Davis,-6.79,38.54167,-121.75944,,,,,,,,,,,,,,,,,,
UC Irvine,0.39,33.64917,-117.84694,,,,,,,,,,,,,,,,,,
UC Riverside,-6.93,33.9789,-117.32813,,,,,,,,,,,,,,,,,,
UC San Diego,-2.63,32.885278,-117.239223,,,,,,,,,,,,,,,,,,
UC Santa Barbara,-0.63,34.4137917,-119.8511472,,,,,,,,,,,,,,,,,,
UCF,8.34,28.6068,-81.1976,,,,,,,,,,,,,,,,,,
